incident_id,incident_date,state,city_or_county,address,victims_killed,victims_injured,suspects_killed,suspects_injured,suspects_arrested,incident_url,source_url
3201452,"May 4, 2025",Oklahoma,Tulsa,E 2nd St S and S Elgin Ave,0,5,1,1,0,https://www.gunviolencearchive.org/incident/3201452,https://www.kjrh.com/news/local-news/downtown-shooting-chaotic-scene-in-downtown-tulsa-2-officer-involved-shootings
3201117,"May 4, 2025",Texas,Houston,6000 block of Cherry Hill Ave,1,15,0,0,0,https://www.gunviolencearchive.org/incident/3201117,https://www.houstonchronicle.com/news/houston-texas/crime/article/joe-mendoza-cherryhill-shooting-victim-party-20317629.php
3201936,"May 4, 2025",Arizona,Glendale,6729 N 57th Dr,3,5,0,0,0,https://www.gunviolencearchive.org/incident/3201936,https://www.kivitv.com/news/national/three-dead-five-hurt-after-shooting-at-restaurant-near-59th-and-glendale-avenues-sunday
3201959,"May 4, 2025",Colorado,Denver,1900 block of Market St,0,4,0,0,1,https://www.gunviolencearchive.org/incident/3201959,https://www.denver7.com/news/crime/arrest-made-in-downtown-denver-quadruple-shooting-that-left-4-wounded
3199958,"May 2, 2025",Maryland,Gwynn Oak (Woodlawn),1800 block of Woodlawn Dr,1,3,0,0,0,https://www.gunviolencearchive.org/incident/3199958,https://www.cbsnews.com/baltimore/news/man-dies-quadruple-shooting-baltimore-county-maryland/
3198160,"April 29, 2025",Minnesota,Minneapolis,1508 E 25th St,4,1,0,0,1,https://www.gunviolencearchive.org/incident/3198160,https://www.startribune.com/teen-fatally-shot-man-on-minneapolis-street-shot-2-more-days-later-during-crime-spree-charges-say/601350630
3195984,"April 27, 2025",North Carolina,Elizabeth City,1704 Weeksville Rd,1,3,0,0,0,https://www.gunviolencearchive.org/incident/3195984,https://www.witn.com/2025/04/29/sbi-confirms-name-man-killed-ecsu-mass-shooting/
3196464,"April 27, 2025",Tennessee,Memphis,2871 S Perkins Rd,1,4,0,0,0,https://www.gunviolencearchive.org/incident/3196464,https://www.fox13memphis.com/news/5-shot-1-dead-after-gunfire-erupts-at-parkway-village-restaurant-mpd-says/article_c14bd6c1-a60c-48e5-bb29-b20a176fa1a6.html
3196061,"April 27, 2025",North Carolina,Rocky Mount,W End St,0,4,0,0,2,https://www.gunviolencearchive.org/incident/3196061,https://www.facebook.com/photo/?fbid=1225677162348051&set=a.584158536499920
3195885,"April 26, 2025",South Carolina,Myrtle Beach,913 N Ocean Blvd,0,11,1,0,0,https://www.gunviolencearchive.org/incident/3195885,https://www.wbtw.com/news/grand-strand/myrtle-beach/sled-finishes-redacting-report-on-deadly-officer-involved-shooting-in-myrtle-beach-police-say/
